mode: set
omsu_mirror/cmd/loadtest/main.go:11.13,26.35 11 0
omsu_mirror/cmd/loadtest/main.go:26.35,28.13 2 0
omsu_mirror/cmd/loadtest/main.go:28.13,30.37 2 0
omsu_mirror/cmd/loadtest/main.go:30.37,38.55 6 0
omsu_mirror/cmd/loadtest/main.go:38.55,41.6 2 0
omsu_mirror/cmd/loadtest/main.go:41.11,43.21 2 0
omsu_mirror/cmd/loadtest/main.go:43.21,45.7 1 0
omsu_mirror/cmd/loadtest/main.go:51.2,63.84 11 0
omsu_mirror/docs/docs.go:651.13,653.2 1 0
omsu_mirror/cmd/server/main.go:25.13,30.54 2 0
omsu_mirror/cmd/server/main.go:30.54,32.3 1 0
omsu_mirror/cmd/server/main.go:35.2,40.16 4 0
omsu_mirror/cmd/server/main.go:40.16,42.3 1 0
omsu_mirror/cmd/server/main.go:43.2,70.12 13 0
omsu_mirror/cmd/server/main.go:70.12,71.40 1 0
omsu_mirror/cmd/server/main.go:71.40,73.4 1 0
omsu_mirror/cmd/server/main.go:77.2,88.42 7 0
omsu_mirror/cmd/server/main.go:88.42,90.3 1 0
omsu_mirror/cmd/server/main.go:92.2,92.33 1 0
omsu_mirror/cmd/server/main.go:95.38,97.16 2 0
omsu_mirror/cmd/server/main.go:97.16,99.3 1 0
omsu_mirror/cmd/server/main.go:100.2,102.32 2 0
omsu_mirror/cmd/server/main.go:102.32,104.3 1 0
omsu_mirror/internal/config/config.go:54.21,56.40 2 1
omsu_mirror/internal/config/config.go:56.40,58.3 1 0
omsu_mirror/internal/config/config.go:59.2,59.13 1 1
omsu_mirror/internal/cache/memory.go:24.36,26.2 1 0
omsu_mirror/internal/cache/memory.go:28.52,30.53 1 0
omsu_mirror/internal/cache/memory.go:30.53,33.3 1 0
omsu_mirror/internal/cache/memory.go:35.2,40.13 4 0
omsu_mirror/internal/cache/memory.go:40.13,42.3 1 0
omsu_mirror/internal/cache/memory.go:42.8,44.3 1 0
omsu_mirror/internal/cache/memory.go:47.54,49.8 2 0
omsu_mirror/internal/cache/memory.go:49.8,51.39 2 0
omsu_mirror/internal/cache/memory.go:51.39,55.4 3 0
omsu_mirror/internal/cache/memory.go:56.3,57.25 2 0
omsu_mirror/internal/cache/memory.go:59.2,60.19 2 0
omsu_mirror/internal/cache/memory.go:63.56,67.2 3 0
omsu_mirror/internal/cache/memory.go:69.58,71.8 2 0
omsu_mirror/internal/cache/memory.go:71.8,73.39 2 0
omsu_mirror/internal/cache/memory.go:73.39,76.4 2 0
omsu_mirror/internal/cache/memory.go:77.3,77.25 1 0
omsu_mirror/internal/cache/memory.go:79.2,79.19 1 0
omsu_mirror/internal/cache/memory.go:82.46,83.52 1 0
omsu_mirror/internal/cache/memory.go:83.52,85.3 1 0
omsu_mirror/internal/cache/memory.go:86.2,86.24 1 0
omsu_mirror/internal/cache/memory.go:90.31,91.49 1 0
omsu_mirror/internal/cache/memory.go:91.49,94.3 2 0
omsu_mirror/internal/cache/memory.go:95.2,95.53 1 0
omsu_mirror/internal/cache/memory.go:95.53,98.3 2 0
omsu_mirror/internal/cache/memory.go:99.2,99.36 1 0
omsu_mirror/internal/cache/memory.go:108.42,114.2 1 0
omsu_mirror/internal/cache/search.go:35.36,37.2 1 1
omsu_mirror/internal/cache/search.go:39.33,46.2 6 1
omsu_mirror/internal/cache/search.go:48.107,52.27 2 1
omsu_mirror/internal/cache/search.go:52.27,54.27 2 1
omsu_mirror/internal/cache/search.go:54.27,56.4 1 0
omsu_mirror/internal/cache/search.go:57.3,57.46 1 1
omsu_mirror/internal/cache/search.go:61.2,61.27 1 1
omsu_mirror/internal/cache/search.go:61.27,64.3 2 1
omsu_mirror/internal/cache/search.go:67.2,67.31 1 1
omsu_mirror/internal/cache/search.go:67.31,70.3 2 1
omsu_mirror/internal/cache/search.go:72.2,74.17 3 1
omsu_mirror/internal/cache/search.go:77.74,79.24 2 1
omsu_mirror/internal/cache/search.go:79.24,80.37 1 1
omsu_mirror/internal/cache/search.go:80.37,82.4 1 1
omsu_mirror/internal/cache/search.go:83.3,85.29 2 1
omsu_mirror/internal/cache/search.go:85.29,87.4 1 1
omsu_mirror/internal/cache/search.go:91.91,93.28 2 1
omsu_mirror/internal/cache/search.go:93.28,95.3 1 1
omsu_mirror/internal/cache/search.go:97.2,101.26 4 1
omsu_mirror/internal/cache/search.go:101.26,102.39 1 1
omsu_mirror/internal/cache/search.go:102.39,104.4 1 1
omsu_mirror/internal/cache/search.go:104.9,106.4 1 1
omsu_mirror/internal/cache/search.go:109.2,112.35 3 1
omsu_mirror/internal/cache/search.go:112.35,113.60 1 1
omsu_mirror/internal/cache/search.go:113.60,114.12 1 1
omsu_mirror/internal/cache/search.go:117.3,118.16 2 1
omsu_mirror/internal/cache/search.go:118.16,119.12 1 0
omsu_mirror/internal/cache/search.go:122.3,125.28 3 1
omsu_mirror/internal/cache/search.go:125.28,126.9 1 1
omsu_mirror/internal/cache/search.go:130.2,130.16 1 1
omsu_mirror/internal/upstream/client.go:22.44,33.2 1 0
omsu_mirror/internal/upstream/client.go:35.87,36.9 1 0
omsu_mirror/internal/upstream/client.go:37.20,38.19 1 0
omsu_mirror/internal/upstream/client.go:39.21,39.21 0 0
omsu_mirror/internal/upstream/client.go:42.2,53.34 10 0
omsu_mirror/internal/upstream/client.go:53.34,54.77 1 0
omsu_mirror/internal/upstream/client.go:54.77,57.12 3 0
omsu_mirror/internal/upstream/client.go:60.3,60.41 1 0
omsu_mirror/internal/upstream/client.go:60.41,64.12 4 0
omsu_mirror/internal/upstream/client.go:67.3,67.8 1 0
omsu_mirror/internal/upstream/client.go:70.2,70.16 1 0
omsu_mirror/internal/upstream/client.go:70.16,72.3 1 0
omsu_mirror/internal/upstream/client.go:74.2,76.55 3 0
omsu_mirror/internal/upstream/client.go:76.55,79.3 2 0
omsu_mirror/internal/upstream/client.go:81.2,81.22 1 0
omsu_mirror/internal/upstream/client.go:81.22,83.3 1 0
omsu_mirror/internal/upstream/client.go:85.2,85.61 1 0
omsu_mirror/internal/upstream/client.go:85.61,88.3 2 0
omsu_mirror/internal/upstream/client.go:90.2,90.12 1 0
omsu_mirror/internal/upstream/client.go:93.75,96.55 3 0
omsu_mirror/internal/upstream/client.go:96.55,98.3 1 0
omsu_mirror/internal/upstream/client.go:99.2,99.20 1 0
omsu_mirror/internal/upstream/client.go:102.82,105.53 3 0
omsu_mirror/internal/upstream/client.go:105.53,107.3 1 0
omsu_mirror/internal/upstream/client.go:108.2,108.18 1 0
omsu_mirror/internal/upstream/client.go:111.75,114.55 3 0
omsu_mirror/internal/upstream/client.go:114.55,116.3 1 0
omsu_mirror/internal/upstream/client.go:117.2,117.20 1 0
omsu_mirror/internal/upstream/client.go:120.97,123.57 3 0
omsu_mirror/internal/upstream/client.go:123.57,125.3 1 0
omsu_mirror/internal/upstream/client.go:126.2,126.22 1 0
omsu_mirror/internal/upstream/client.go:129.93,132.57 3 0
omsu_mirror/internal/upstream/client.go:132.57,134.3 1 0
omsu_mirror/internal/upstream/client.go:135.2,135.22 1 0
omsu_mirror/internal/upstream/client.go:138.99,141.57 3 0
omsu_mirror/internal/upstream/client.go:141.57,143.3 1 0
omsu_mirror/internal/upstream/client.go:144.2,144.22 1 0
omsu_mirror/internal/storage/dict_repo.go:13.40,15.2 1 1
omsu_mirror/internal/storage/dict_repo.go:17.83,19.16 2 1
omsu_mirror/internal/storage/dict_repo.go:19.16,21.3 1 0
omsu_mirror/internal/storage/dict_repo.go:22.2,32.16 3 1
omsu_mirror/internal/storage/dict_repo.go:32.16,34.3 1 0
omsu_mirror/internal/storage/dict_repo.go:35.2,37.27 2 1
omsu_mirror/internal/storage/dict_repo.go:37.27,38.79 1 1
omsu_mirror/internal/storage/dict_repo.go:38.79,40.4 1 0
omsu_mirror/internal/storage/dict_repo.go:43.2,43.20 1 1
omsu_mirror/internal/storage/dict_repo.go:46.78,48.16 2 1
omsu_mirror/internal/storage/dict_repo.go:48.16,50.3 1 0
omsu_mirror/internal/storage/dict_repo.go:51.2,54.18 3 1
omsu_mirror/internal/storage/dict_repo.go:54.18,56.67 2 1
omsu_mirror/internal/storage/dict_repo.go:56.67,58.4 1 0
omsu_mirror/internal/storage/dict_repo.go:59.3,59.29 1 1
omsu_mirror/internal/storage/dict_repo.go:61.2,61.20 1 1
omsu_mirror/internal/storage/dict_repo.go:64.88,66.16 2 1
omsu_mirror/internal/storage/dict_repo.go:66.16,68.3 1 0
omsu_mirror/internal/storage/dict_repo.go:69.2,79.16 3 1
omsu_mirror/internal/storage/dict_repo.go:79.16,81.3 1 0
omsu_mirror/internal/storage/dict_repo.go:82.2,84.25 2 1
omsu_mirror/internal/storage/dict_repo.go:84.25,85.76 1 1
omsu_mirror/internal/storage/dict_repo.go:85.76,87.4 1 0
omsu_mirror/internal/storage/dict_repo.go:90.2,90.20 1 1
omsu_mirror/internal/storage/dict_repo.go:93.85,95.16 2 0
omsu_mirror/internal/storage/dict_repo.go:95.16,97.3 1 0
omsu_mirror/internal/storage/dict_repo.go:98.2,101.18 3 0
omsu_mirror/internal/storage/dict_repo.go:101.18,103.64 2 0
omsu_mirror/internal/storage/dict_repo.go:103.64,105.4 1 0
omsu_mirror/internal/storage/dict_repo.go:106.3,106.25 1 0
omsu_mirror/internal/storage/dict_repo.go:108.2,108.18 1 0
omsu_mirror/internal/storage/dict_repo.go:111.83,113.16 2 1
omsu_mirror/internal/storage/dict_repo.go:113.16,115.3 1 0
omsu_mirror/internal/storage/dict_repo.go:116.2,125.16 3 1
omsu_mirror/internal/storage/dict_repo.go:125.16,127.3 1 0
omsu_mirror/internal/storage/dict_repo.go:128.2,130.27 2 1
omsu_mirror/internal/storage/dict_repo.go:130.27,131.64 1 1
omsu_mirror/internal/storage/dict_repo.go:131.64,133.4 1 0
omsu_mirror/internal/storage/dict_repo.go:136.2,136.20 1 1
omsu_mirror/internal/storage/dict_repo.go:139.78,141.16 2 0
omsu_mirror/internal/storage/dict_repo.go:141.16,143.3 1 0
omsu_mirror/internal/storage/dict_repo.go:144.2,147.18 3 0
omsu_mirror/internal/storage/dict_repo.go:147.18,149.51 2 0
omsu_mirror/internal/storage/dict_repo.go:149.51,151.4 1 0
omsu_mirror/internal/storage/dict_repo.go:152.3,152.29 1 0
omsu_mirror/internal/storage/dict_repo.go:154.2,154.20 1 0
omsu_mirror/internal/storage/dict_repo.go:157.85,161.26 3 1
omsu_mirror/internal/storage/dict_repo.go:161.26,163.3 1 1
omsu_mirror/internal/storage/dict_repo.go:164.2,164.16 1 1
omsu_mirror/internal/storage/dict_repo.go:164.16,166.3 1 0
omsu_mirror/internal/storage/dict_repo.go:167.2,167.16 1 1
omsu_mirror/internal/storage/dict_repo.go:170.91,174.26 3 1
omsu_mirror/internal/storage/dict_repo.go:174.26,176.3 1 0
omsu_mirror/internal/storage/dict_repo.go:177.2,177.16 1 1
omsu_mirror/internal/storage/dict_repo.go:177.16,179.3 1 0
omsu_mirror/internal/storage/dict_repo.go:180.2,180.16 1 1
omsu_mirror/internal/storage/dict_repo.go:183.85,187.26 3 1
omsu_mirror/internal/storage/dict_repo.go:187.26,189.3 1 0
omsu_mirror/internal/storage/dict_repo.go:190.2,190.16 1 1
omsu_mirror/internal/storage/dict_repo.go:190.16,192.3 1 0
omsu_mirror/internal/storage/dict_repo.go:193.2,193.16 1 1
omsu_mirror/internal/storage/incident_repo.go:20.48,22.2 1 0
omsu_mirror/internal/storage/incident_repo.go:24.101,30.2 2 0
omsu_mirror/internal/storage/incident_repo.go:32.97,33.31 1 0
omsu_mirror/internal/storage/incident_repo.go:33.31,35.3 1 0
omsu_mirror/internal/storage/incident_repo.go:36.2,36.16 1 0
omsu_mirror/internal/storage/incident_repo.go:36.16,38.3 1 0
omsu_mirror/internal/storage/incident_repo.go:40.2,46.16 2 0
omsu_mirror/internal/storage/incident_repo.go:46.16,48.3 1 0
omsu_mirror/internal/storage/incident_repo.go:49.2,52.18 3 0
omsu_mirror/internal/storage/incident_repo.go:52.18,54.106 2 0
omsu_mirror/internal/storage/incident_repo.go:54.106,56.4 1 0
omsu_mirror/internal/storage/incident_repo.go:57.3,57.37 1 0
omsu_mirror/internal/storage/incident_repo.go:59.2,59.22 1 0
omsu_mirror/internal/storage/incident_repo.go:59.22,61.3 1 0
omsu_mirror/internal/storage/incident_repo.go:62.2,62.23 1 0
omsu_mirror/internal/storage/incident_repo.go:65.82,72.16 2 0
omsu_mirror/internal/storage/incident_repo.go:72.16,74.3 1 0
omsu_mirror/internal/storage/incident_repo.go:75.2,75.27 1 0
omsu_mirror/internal/storage/schedule_repo.go:14.48,24.2 3 0
omsu_mirror/internal/storage/schedule_repo.go:26.38,27.29 1 0
omsu_mirror/internal/storage/schedule_repo.go:27.29,31.3 3 0
omsu_mirror/internal/storage/schedule_repo.go:41.153,55.2 4 0
omsu_mirror/internal/storage/schedule_repo.go:57.97,67.26 4 0
omsu_mirror/internal/storage/schedule_repo.go:67.26,69.3 1 0
omsu_mirror/internal/storage/schedule_repo.go:70.2,70.16 1 0
omsu_mirror/internal/storage/schedule_repo.go:70.16,72.3 1 0
omsu_mirror/internal/storage/schedule_repo.go:75.2,75.9 1 0
omsu_mirror/internal/storage/schedule_repo.go:76.24,76.24 0 0
omsu_mirror/internal/storage/schedule_repo.go:77.10,77.10 0 0
omsu_mirror/internal/storage/schedule_repo.go:81.2,81.25 1 0
omsu_mirror/internal/storage/schedule_repo.go:84.107,86.16 2 0
omsu_mirror/internal/storage/schedule_repo.go:86.16,88.3 1 0
omsu_mirror/internal/storage/schedule_repo.go:89.2,92.18 3 0
omsu_mirror/internal/storage/schedule_repo.go:92.18,95.47 3 0
omsu_mirror/internal/storage/schedule_repo.go:95.47,97.4 1 0
omsu_mirror/internal/storage/schedule_repo.go:98.3,98.17 1 0
omsu_mirror/internal/storage/schedule_repo.go:100.2,100.17 1 0
omsu_mirror/internal/storage/schedule_repo.go:103.110,106.16 3 0
omsu_mirror/internal/storage/schedule_repo.go:106.16,108.3 1 0
omsu_mirror/internal/storage/schedule_repo.go:109.2,112.18 3 0
omsu_mirror/internal/storage/schedule_repo.go:112.18,114.39 2 0
omsu_mirror/internal/storage/schedule_repo.go:114.39,116.4 1 0
omsu_mirror/internal/storage/schedule_repo.go:117.3,117.25 1 0
omsu_mirror/internal/storage/schedule_repo.go:119.2,119.18 1 0
omsu_mirror/internal/storage/schedule_repo.go:122.73,124.16 2 0
omsu_mirror/internal/storage/schedule_repo.go:124.16,126.3 1 0
omsu_mirror/internal/storage/schedule_repo.go:127.2,127.27 1 0
omsu_mirror/internal/storage/schedule_repo.go:130.89,139.2 2 0
omsu_mirror/internal/storage/schedule_repo.go:141.85,144.26 3 0
omsu_mirror/internal/storage/schedule_repo.go:144.26,146.3 1 0
omsu_mirror/internal/storage/schedule_repo.go:147.2,147.17 1 0
omsu_mirror/internal/storage/sqlite.go:16.53,19.47 2 1
omsu_mirror/internal/storage/sqlite.go:19.47,21.3 1 0
omsu_mirror/internal/storage/sqlite.go:24.2,25.16 2 1
omsu_mirror/internal/storage/sqlite.go:25.16,27.3 1 0
omsu_mirror/internal/storage/sqlite.go:30.2,30.23 1 1
omsu_mirror/internal/storage/sqlite.go:30.23,31.64 1 0
omsu_mirror/internal/storage/sqlite.go:31.64,33.4 1 0
omsu_mirror/internal/storage/sqlite.go:37.2,37.98 1 1
omsu_mirror/internal/storage/sqlite.go:37.98,39.3 1 0
omsu_mirror/internal/storage/sqlite.go:41.2,42.36 2 1
omsu_mirror/internal/storage/sqlite.go:42.36,44.3 1 0
omsu_mirror/internal/storage/sqlite.go:46.2,46.15 1 1
omsu_mirror/internal/storage/sqlite.go:49.34,107.28 2 1
